Latitude,Longitude,Station,Depth,Temperature,Salinity,Nitrate,Iron,Ratio,Density
17.3514,337.21661,Station 11,2.0,,,,,,
17.3514,337.21661,Station 11,5.0,27.1,36.23,,,,23.4724396700924
17.3514,337.21661,Station 11,17.8,27.11,36.23,0.0,,,23.469220531378028
17.3514,337.21661,Station 11,29.0,,,,,,
17.3514,337.21661,Station 11,29.7,27.08,36.200001,0.005,0.586341,8.527460982602275,23.456774641879065
17.3514,337.21661,Station 11,31.5,27.11,36.200001,0.0,,,23.447121135559655
17.3514,337.21661,Station 11,32.1,27.08,36.27,0.0,,,23.508345091265824
17.3514,337.21661,Station 11,47.5,22.44,36.849998,0.12,,,25.351943896661396
17.3514,337.21661,Station 11,61.8,20.91,36.720001,1.795,0.222439,8069.628077810096,25.684415670919634
17.3514,337.21661,Station 11,63.0,,,,,,
17.3514,337.21661,Station 11,65.0,21.45,36.740002,0.68,,,25.549983165999038
17.3514,337.21661,Station 11,65.6,20.25,36.630001,5.89,,,25.79622129404015
17.3514,337.21661,Station 11,85.0,,,,,,
17.3514,337.21661,Station 11,85.4,18.34,36.400002,13.535,0.516585,26200.91562859936,26.12078533838917
17.3514,337.21661,Station 11,86.7,18.8,36.439999,12.8,,,26.034021001620886
17.3514,337.21661,Station 11,86.9,18.2,36.380001,14.13,,,26.140908537351834
17.3514,337.21661,Station 11,111.7,17.07,36.27,15.67,,,26.33559439333385
17.3514,337.21661,Station 11,135.0,,,,,,
17.3514,337.21661,Station 11,135.8,16.08,36.110001,17.7849995,0.846341,21013.987860684996,26.448160506455224
17.3514,337.21661,Station 11,136.0,16.13,36.119999,17.65,,,26.44415746199502
17.3514,337.21661,Station 11,136.6,16.26,36.130001,17.49,,,26.421498051970502
17.3514,337.21661,Station 11,150.8,15.87,36.07,18.309999,,,26.466215492335778
17.3514,337.21661,Station 11,179.7,15.04,35.950001,19.5249995,1.069268,18260.155078053394,26.562310401254535
17.3514,337.21661,Station 11,180.0,,,,,,
17.3514,337.21661,Station 11,180.3,14.88,35.93,19.719999,,,26.582445217832174
17.3514,337.21661,Station 11,181.0,15.14,35.970001,19.23,,,26.555309318492846
17.3514,337.21661,Station 11,199.6,14.7,35.900002,20.075,0.990732,20262.795589523706,26.59908202203087
17.3514,337.21661,Station 11,200.3,14.62,35.880001,20.209999,,,26.601286798038245
17.3514,337.21661,Station 11,249.5,13.44,35.700001,23.15,,,26.714035921143477
17.3514,337.21661,Station 11,249.7,13.65,35.73,22.440001,,,26.69344332042715
17.3514,337.21661,Station 11,250.0,,,,,,
17.3514,337.21661,Station 11,250.3,13.64,35.73,22.674999,1.116585,20307.454425771437,26.695526716451695
17.3514,337.21661,Station 11,298.6,12.68,35.580002,25.379999,,,26.77603237431731
17.3514,337.21661,Station 11,300.7,12.61,35.580002,25.490000000000002,1.066951,23890.5066868113,26.789923370448832
17.3514,337.21661,Station 11,347.7,11.98,35.5,26.549999,,,26.851292661051502
17.3514,337.21661,Station 11,351.3,11.85,35.48,26.845000499999998,1.135122,23649.440764957424,26.860758129033456
17.3514,337.21661,Station 11,446.9,10.59,35.310001,29.549999,,,26.96158721472443
17.3514,337.21661,Station 11,447.5,10.5,35.310001,29.379999,,,26.977522372281555
17.3514,337.21661,Station 11,449.9,10.4,35.290001,29.845000499999998,1.053171,28338.228549779662,26.979674299452654
17.3514,337.21661,Station 11,450.0,,,,,,
17.3525,341.74689,Station 9,2.0,,,,,,
17.3525,341.74689,Station 9,5.0,27.97,35.810001,,,,22.880896289129737
17.3525,341.74689,Station 9,13.3,27.98,35.799999,0.02,,,22.870269599216044
17.3525,341.74689,Station 9,22.4,27.88,35.77,0.0,,,22.880936174880162
17.3525,341.74689,Station 9,26.0,,,,,,
17.3525,341.74689,Station 9,28.0,27.62,35.790001,0.0,0.877439,0.0,22.980364232527677
17.3525,341.74689,Station 9,28.9,27.97,35.799999,0.03,,,22.873544934770848
17.3525,341.74689,Station 9,29.2,28.03,35.810001,0.0,,,22.861232179073113
17.3525,341.74689,Station 9,30.2,27.83,35.73,0.0,,,22.86785661964018
17.3525,341.74689,Station 9,49.0,19.88,36.029999,5.51,0.241951,22773.206145045897,25.444518008227078
17.3525,341.74689,Station 9,52.0,,,,,,
17.3525,341.74689,Station 9,52.1,18.97,36.09,15.12,,,25.726836951968835
17.3525,341.74689,Station 9,52.5,20.4,36.18,7.23,,,25.41835471190825
17.3525,341.74689,Station 9,54.6,19.45,36.029999,10.58,,,25.55744936594192
17.3525,341.74689,Station 9,55.6,19.4,36.049999,7.01,,,25.58551837019604
17.3525,341.74689,Station 9,85.0,,,,,,
17.3525,341.74689,Station 9,87.4,15.63,35.720001,24.549999,,,26.254987735587974
17.3525,341.74689,Station 9,88.5,15.75,35.740002,22.540001,,,26.24292057670391
17.3525,341.74689,Station 9,89.0,15.62,35.740002,23.285001,1.387439,16782.720537623634,26.27245961738663
17.3525,341.74689,Station 9,91.2,15.52,35.790001,24.379999,,,26.333100609594567
17.3525,341.74689,Station 9,106.4,14.77,35.68,24.780001,,,26.4160680651687
17.3525,341.74689,Station 9,109.4,14.99,35.709999,23.5249995,1.2807315,18368.40860086599,26.390577529996335
17.3525,341.74689,Station 9,112.3,14.92,35.66,24.85,,,26.367919875227017
17.3525,341.74689,Station 9,135.0,,,,,,
17.3525,341.74689,Station 9,135.2,14.06,35.57,24.409999499999998,1.410366,17307.563781316338,26.484993988335873
17.3525,341.74689,Station 9,136.6,14.4,35.610001,25.030001,,,26.442945799951076
17.3525,341.74689,Station 9,137.7,14.11,35.580002,23.57,,,26.482028417009587
17.3525,341.74689,Station 9,150.3,13.71,35.529999,25.92,,,26.527980553250927
17.3525,341.74689,Station 9,161.0,13.73,35.529999,25.879999,,,26.52380920998371
17.3525,341.74689,Station 9,184.8,13.3,35.5,25.8900005,1.510488,17140.156360063767,26.589690007808485
