Latitude,Longitude,Station,Depth,Temperature,Salinity,Nitrate,Iron,Ratio,Density
-42.4692,8.92934,34 (Super 2),2.6,12.016,34.248001,,,,25.88192300654464
-42.4692,8.92934,34 (Super 2),2.8,12.016,34.249001,,,,25.882691655646568
-42.4692,8.92934,34 (Super 2),3.0,12.014,34.248001,,,,25.88230103836213
-42.4692,8.92934,34 (Super 2),3.1,12.0135,34.248001,10.770732,,,25.882395540169682
-42.4692,8.92934,34 (Super 2),3.6,13.377,34.636002,5.551219,,,25.9125869016018
-42.4692,8.92934,34 (Super 2),4.6,12.019,34.248001,10.536585,,,25.881355885060202
-42.4692,8.92934,34 (Super 2),4.8,12.014,34.249001,,,,25.88306969245059
-42.4692,8.92934,34 (Super 2),9.0,11.954,34.223999,10.331707,,,25.8751709062617
-42.4692,8.92934,34 (Super 2),9.3,12.007,34.248,10.2536585,,,25.883623071240663
-42.4692,8.92934,34 (Super 2),9.4,12.013,34.249001,,,,25.883258696100256
-42.4692,8.92934,34 (Super 2),9.5,12.009,34.249001,,,,25.88401461234639
-42.4692,8.92934,34 (Super 2),15.0,,,5.795122,0.174634,33184.385629373435,
-42.4692,8.92934,34 (Super 2),19.7,12.422,34.348999,,,,25.881901283150228
-42.4692,8.92934,34 (Super 2),20.3,12.401,34.338001,,,,25.877514167710387
-42.4692,8.92934,34 (Super 2),20.5,13.373,34.636002,5.795122,,,25.91339946963126
-42.4692,8.92934,34 (Super 2),21.5,12.006,34.25,10.536585,,,25.885349351757668
-42.4692,8.92934,34 (Super 2),30.0,,,,0.125756,,
-42.4692,8.92934,34 (Super 2),35.0,,,,0.095902,,
-42.4692,8.92934,34 (Super 2),38.6,13.271,34.667,,,,25.95780107360133
-42.4692,8.92934,34 (Super 2),39.2,13.156,34.682999,,,,25.993247255346887
-42.4692,8.92934,34 (Super 2),40.0,,,,,,
-42.4692,8.92934,34 (Super 2),45.0,,,,,,
-42.4692,8.92934,34 (Super 2),46.0,,,,0.087805,,
-42.4692,8.92934,34 (Super 2),47.9,12.795,34.705002,6.546341,,,26.082112553553316
-42.4692,8.92934,34 (Super 2),49.7,13.208,34.668999,,,,25.972052985407345
-42.4692,8.92934,34 (Super 2),49.8,13.2045,34.6689985,5.882927,,,25.97275823514633
-42.4692,8.92934,34 (Super 2),50.0,13.2015,34.6729985,,,,25.97642614170809
