Station,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron
BD02,37.3313,141.453,0,26.2,,0.039024,
BD02,37.3313,141.453,10,21.398,33.764,0.009756,
BD02,37.3313,141.453,20,20.48,33.974998,0.009756,
BD02,37.3313,141.453,30,19.756,34.066002,,
BD02,37.3313,141.453,49,18.692,34.040001,,
BD02,37.3313,141.453,75,15.061,34.012001,2.390244,
BD02,37.3313,141.453,99,10.669,34.033001,7.278049,
BD02,37.3313,141.453,133,9.499,34.043999,11.307317,
BD02,37.3313,141.453,134,9.475,34.049999,11.697561,
BD03,37.5845,141.51601,0,25.7,,0.22439,
BD03,37.5845,141.51601,10,22.819,33.625,0.009756,
BD03,37.5845,141.51601,20,20.017,33.540001,,
BD03,37.5845,141.51601,30,16.743,33.749001,0.097561,
BD03,37.5845,141.51601,50,14.112,33.918999,2.117073,
BD03,37.5845,141.51601,74,12.188,34.056999,6.790244,
BD03,37.5845,141.51601,99,10.964,34.122002,9.043902,
BD03,37.5845,141.51601,125,9.267,33.964001,10.253659,
BD04,37.814,143.882,0,28.2,,0.078049,
BD04,37.814,143.882,10,27.984,34.075001,0.029268,
BD04,37.814,143.882,25,,,,0.195122
BD04,37.814,143.882,25,24.742,34.5,0.029268,
BD04,37.814,143.882,41,,,,0.253659
BD04,37.814,143.882,41,22.344,34.705002,0.341463,
BD04,37.814,143.882,50,,,,0.331707
BD04,37.814,143.882,50,21.596,34.752998,1.853659,
BD04,37.814,143.882,99,,,,0.481854
BD04,37.814,143.882,99,18.633,34.737999,4.995122,
BD04,37.814,143.882,149,16.463,34.659,7.346342,
BD04,37.814,143.882,149,,,,0.496585
BD04,37.814,143.882,199,13.836,34.5,1.95122,
BD04,37.814,143.882,199,,,,0.526244
BD04,37.814,143.882,397,8.835,34.277,25.043903,
BD04,37.814,143.882,397,,,,0.748293
BD04,37.814,143.882,594,4.94,33.998001,32.400002,
BD04,37.814,143.882,594,,,,
BD04,37.814,143.882,793,,,,1.554342
BD04,37.814,143.882,793,3.854,34.153999,38.614635,
BD04,37.814,143.882,822,3.548,34.16,38.887806,1.77561
BD04,37.814,143.882,990,,,,1.374341
BD04,37.814,143.882,991,3.368,34.327,39.492683,
BD04,37.814,143.882,1238,,,,1.118244
BD04,37.814,143.882,1239,2.907,34.424999,40.185368,
BD04,37.814,143.882,1483,,,,1.051317
BD04,37.814,143.882,1484,2.522,34.486,40.400002,
BD04,37.814,143.882,1976,2.055,34.577999,39.258537,
BD04,37.814,143.882,1976,,,,0.777659
BD04,37.814,143.882,2467,,,,0.922146
BD04,37.814,143.882,2468,1.76,34.627998,37.580486,
BD04,37.814,143.882,2956,1.611,34.653999,36.146343,
BD04,37.814,143.882,2956,,,,0.803024
BD04,37.814,143.882,3445,1.541,34.668999,35.365852,
BD04,37.814,143.882,3931,1.504,34.679001,34.721951,
BD04,37.814,143.882,3933,,,,0.73522
BD04,37.814,143.882,4419,1.506,34.685001,34.243904,0.682341
BD04,37.814,143.882,4905,,,,0.82878
BD04,37.814,143.882,4906,1.529,34.688999,34.058537,
BD04,37.814,143.882,5389,,,,0.745951
BD04,37.814,143.882,5390,1.572,34.691002,33.834145,
BD04,37.814,143.882,5874,1.63,34.692001,33.629269,
BD04,37.814,143.882,5874,,,,0.862829
BD04,37.814,143.882,6355,,,,0.571024
BD04,37.814,143.882,6355,1.696,34.693001,33.814632,
BD04,37.814,143.882,6836,1.768,34.693001,33.746342,
BD04,37.814,143.882,7167,,,,1.803805
BD04,37.814,143.882,7168,1.821,34.693001,33.619511,
BD05,40.8337,150.00101,0,23.8,,0.653659,
BD05,40.8337,150.00101,10,18.046,33.077999,0.22439,
BD05,40.8337,150.00101,10,,,,0.075805
BD05,40.8337,150.00101,26,,,,0.09639
BD05,40.8337,150.00101,26,8.254,32.874001,9.365853,
BD05,40.8337,150.00101,36,4.242,32.972,14.595122,
BD05,40.8337,150.00101,38,,,,0.085366
BD05,40.8337,150.00101,49,,,,0.182244
BD05,40.8337,150.00101,51,2.092,33.055,21.902439,
BD05,40.8337,150.00101,99,1.47,33.191002,25.190245,
BD05,40.8337,150.00101,100,,,,0.34878
BD05,40.8337,150.00101,150,1.457,33.317001,28.497561,0.499024
BD05,40.8337,150.00101,198,,,,0.648683
BD05,40.8337,150.00101,199,1.737,33.433998,31.590244,
BD05,40.8337,150.00101,396,3.229,33.924,39.72683,
BD05,40.8337,150.00101,396,,,,1.277561
BD05,40.8337,150.00101,595,,,,1.49122
BD05,40.8337,150.00101,595,3.369,34.181999,40.643902,
BD05,40.8337,150.00101,772,,,,1.535902
BD05,40.8337,150.00101,773,3.051,34.300999,40.985367,
BD05,40.8337,150.00101,792,3.031,34.312,40.663414,1.500976
BD05,40.8337,150.00101,990,,,,1.399122
BD05,40.8337,150.00101,990,2.753,34.397999,40.819511,
BD05,40.8337,150.00101,1237,2.408,34.472,40.585365,1.343317
BD05,40.8337,150.00101,1482,2.239,34.526001,40.380489,1.239024
BD05,40.8337,150.00101,1974,,,,1.038244
BD05,40.8337,150.00101,1974,1.902,34.598999,38.770733,
BD05,40.8337,150.00101,2465,1.672,34.639,37.258537,
BD05,40.8337,150.00101,2465,,,,0.964488
BD05,40.8337,150.00101,2955,,,,1.046634
BD05,40.8337,150.00101,2956,1.551,34.66,36.117073,
BD05,40.8337,150.00101,3443,1.486,34.673,35.34634,
BD05,40.8337,150.00101,3444,,,,0.935707
BD05,40.8337,150.00101,3932,1.464,34.681,34.780487,
BD05,40.8337,150.00101,3932,,,,0.931512
BD05,40.8337,150.00101,4418,,,,0.923805
BD05,40.8337,150.00101,4418,1.47,34.686001,34.243904,
BD05,40.8337,150.00101,4904,,,,0.684878
BD05,40.8337,150.00101,4904,1.516,34.687,34.243904,
BD05,40.8337,150.00101,5230,,,,0.616
BD05,40.8337,150.00101,5230,1.547,34.688,34.117073,
BD06,44.0027,155.0,0,17.8,,6.341464,
BD06,44.0027,155.0,9,,,,0.116098
BD06,44.0027,155.0,11,15.747,32.450001,6.585366,
BD06,44.0027,155.0,22,,,,0.084683
BD06,44.0027,155.0,22,8.653,32.804001,11.648781,
BD06,44.0027,155.0,24,8.315,32.821999,12.204878,
BD06,44.0027,155.0,24,,,,0.095902
BD06,44.0027,155.0,49,3.682,32.965,17.609756,
BD06,44.0027,155.0,49,,,,0.073463
BD06,44.0027,155.0,99,1.146,33.118,25.131706,
BD06,44.0027,155.0,99,,,,0.221561
BD06,44.0027,155.0,198,,,,0.746537
BD06,44.0027,155.0,198,3.039,33.733002,39.07317,
BD06,44.0027,155.0,298,3.363,33.948002,41.687805,
BD06,44.0027,155.0,395,,,,1.022829
BD06,44.0027,155.0,395,3.349,34.077,41.52195,
BD06,44.0027,155.0,551,,,,1.208293
BD06,44.0027,155.0,552,3.178,34.213001,41.834148,
BD06,44.0027,155.0,594,,,,1.218244
BD06,44.0027,155.0,594,3.101,34.248001,41.736588,
BD06,44.0027,155.0,792,2.821,34.349998,40.507317,1.274537
BD06,44.0027,155.0,990,,,,1.239122
BD06,44.0027,155.0,991,2.556,34.422001,41.209755,
BD06,44.0027,155.0,1235,2.312,34.480999,39.853661,1.256878
BD06,44.0027,155.0,1482,2.134,34.532001,40.20488,
BD06,44.0027,155.0,1483,,,,1.241268
BD06,44.0027,155.0,1729,1.988,34.576,39.180489,
BD06,44.0027,155.0,1974,1.842,34.605,38.721951,
BD06,44.0027,155.0,1975,,,,1.126537
BD06,44.0027,155.0,2220,1.72,34.626999,37.82439,
BD06,44.0027,155.0,2466,1.632,34.643002,36.965855,1.135317
BD06,44.0027,155.0,2710,1.569,34.654999,36.20488,
BD06,44.0027,155.0,2955,,,,1.028195
BD06,44.0027,155.0,2955,1.517,34.664001,36.439026,
BD06,44.0027,155.0,3200,1.486,34.669998,35.385365,
BD06,44.0027,155.0,3443,1.465,34.674999,35.043903,0.955902
BD06,44.0027,155.0,3687,1.456,34.679001,34.556099,
BD06,44.0027,155.0,3931,1.455,34.681999,34.409756,
BD06,44.0027,155.0,3932,,,,0.867707
BD06,44.0027,155.0,4174,1.461,34.683998,34.439026,
BD06,44.0027,155.0,4417,1.473,34.685001,34.058537,
BD06,44.0027,155.0,4417,,,,0.735707
BD06,44.0027,155.0,4660,1.493,34.686001,34.058537,
BD06,44.0027,155.0,4902,1.518,34.687,34.019512,
BD06,44.0027,155.0,4903,,,,0.606732
BD06,44.0027,155.0,5287,1.565,34.687,34.019512,
BD06,44.0027,155.0,5287,,,,0.590146
